Wall time,Step,Value
1766904337.854392,5,-0.0027127438224852085
1766904378.52531,18,-0.01104903407394886
1766904396.838944,24,-0.00576804019510746
1766904443.121556,40,-0.0027704271487891674
1766904448.6893811,42,-0.002547817537561059
1766904457.187451,45,-0.0030045968014746904
1766904462.8140721,47,-0.00328385760076344
1766904479.605868,53,-0.0029840830247849226
1766904487.8729742,56,-0.0036692305002361536
1766904530.094941,71,-0.004100932274013758
1766904538.3711581,74,-0.0049430313520133495
1766904552.138869,79,-0.004804616793990135
1766904574.0911481,87,-0.006361448671668768
1766904593.144961,94,-0.006155596114695072
1766904615.3631208,102,-0.006364848464727402
1766904623.5674849,105,-0.005619335453957319
1766904626.2949362,106,-0.006584207993000746
1766904645.534164,113,-0.006483632139861584
1766904680.8477929,126,-0.007141646929085255
1766904716.303071,139,-0.007285373751074076
1766904746.4162712,150,-0.006956123746931553
1766904760.1176178,155,-0.0069626569747924805
1766904768.48058,158,-0.008029238320887089
1766904793.777046,167,-0.007595141883939505
1766904796.604317,168,-0.007102954667061567
1766904824.3643892,178,-0.008191690780222416
1766904838.233221,183,-0.007643659599125385
1766904843.74932,185,-0.007177330553531647
1766904846.460622,186,-0.008451302535831928
1766904857.4917362,190,-0.008435087278485298
1766904879.642487,198,-0.008757435716688633
1766904902.1718662,206,-0.008202837780117989
1766904904.91595,207,-0.008052381686866283
1766904918.741992,212,-0.008429465815424919
1766904950.846924,223,-0.008628063835203648
1766904968.414015,229,-0.008288650773465633
1766904982.908824,234,-0.00853727851063013
1766904991.16911,237,-0.008987228386104107
1766905026.9293199,249,-0.009046034887433052
1766905044.1026409,255,-0.008444689214229584
1766905057.7604249,260,-0.009076095186173916
1766905076.807946,267,-0.008912255987524986
1766905087.732522,271,-0.009744083508849144
1766905093.323879,273,-0.008772948756814003
1766905144.622059,292,-0.008448882959783077
1766905158.177535,297,-0.00816198717802763
1766905160.9375181,298,-0.008885487914085388
1766905174.424775,303,-0.009565485641360283
1766905188.044636,308,-0.009467387571930885
1766905193.4622421,310,-0.00878060795366764
1766905215.4672089,318,-0.009042538702487946
1766905218.2705321,319,-0.009098339825868607
1766905237.802864,326,-0.009232360869646072
1766905249.157829,330,-0.008739505894482136
1766905274.9765692,339,-0.009084181860089302
1766905297.6809568,347,-0.009996882639825344
1766905342.3470101,363,-0.009303119964897633
1766905353.3905358,367,-0.009256456978619099
1766905370.0212421,373,-0.010403534397482872
1766905381.1291578,377,-0.00915710348635912
1766905386.695172,379,-0.010166824795305729
1766905501.4704268,421,-0.009226997382938862
1766905504.211989,422,-0.009446823969483376
1766905509.727477,424,-0.009740311652421951
1766905526.367956,430,-0.010315362364053726
1766905551.060898,439,-0.010917450301349163
1766905556.7588701,441,-0.010305491276085377
1766905559.6213062,442,-0.010405748151242733
1766905567.96172,445,-0.008926095440983772
1766905584.562958,451,-0.009657024405896664
1766905609.467974,460,-0.01036859955638647
1766905617.625844,463,-0.010228578932583332
1766905620.3378172,464,-0.00929856114089489
1766905650.324439,474,-0.00996788777410984
1766905697.9965088,491,-0.00938378181308508
1766905703.5068648,493,-0.009731143712997437
1766905742.0249898,507,-0.01010159682482481
1766905755.793719,512,-0.01029321551322937
1766905761.332196,514,-0.009891672059893608
1766905769.50484,517,-0.010814528912305832
1766905791.448149,525,-0.010674107819795609
1766905808.000938,531,-0.011025556363165379
1766905813.393636,533,-0.011085004545748234
1766905821.593463,536,-0.01101057417690754
