Wall time,Step,Value
1766904337.8547451,5,1.0365043878555298
1766904378.525669,18,1.0298243761062622
1766904396.839339,24,1.0028843879699707
1766904443.121912,40,1.0469132661819458
1766904448.689721,42,1.0560073852539062
1766904457.1877592,45,1.0691035985946655
1766904462.8144178,47,1.0745855569839478
1766904479.606318,53,1.101611852645874
1766904487.873306,56,1.1152136325836182
1766904530.09526,71,1.1694257259368896
1766904538.371522,74,1.1796597242355347
1766904552.139217,79,1.1908451318740845
1766904574.091477,87,1.2090634107589722
1766904593.145359,94,1.2265392541885376
1766904615.363484,102,1.249326467514038
1766904623.5678122,105,1.254620909690857
1766904626.295251,106,1.257824420928955
1766904645.534538,113,1.276693344116211
1766904680.8481998,126,1.3064109086990356
1766904716.303481,139,1.3281409740447998
1766904746.4165819,150,1.3431129455566406
1766904760.1179562,155,1.355725884437561
1766904768.480991,158,1.360838770866394
1766904793.7774851,167,1.3710623979568481
1766904796.604684,168,1.371820092201233
1766904824.364755,178,1.3816334009170532
1766904838.233521,183,1.3908811807632446
1766904843.749624,185,1.3923892974853516
1766904846.461046,186,1.3946136236190796
1766904857.4921799,190,1.4013124704360962
1766904879.642875,198,1.41842520236969
1766904902.172194,206,1.432528018951416
1766904904.9167318,207,1.433450698852539
1766904918.7424371,212,1.4461650848388672
1766904950.847258,223,1.4629207849502563
1766904968.4143949,229,1.470992088317871
1766904982.909287,234,1.480555534362793
1766904991.169468,237,1.4868556261062622
1766905026.9296489,249,1.502872109413147
1766905044.102956,255,1.5126663446426392
1766905057.7607858,260,1.5110574960708618
1766905076.808299,267,1.517234206199646
1766905087.7328908,271,1.5193815231323242
1766905093.324192,273,1.5203313827514648
1766905144.622488,292,1.5339841842651367
1766905158.17823,297,1.5378440618515015
1766905160.937854,298,1.5397546291351318
1766905174.425117,303,1.541536569595337
1766905188.044926,308,1.549340844154358
1766905193.462595,310,1.5485316514968872
1766905215.467558,318,1.556494116783142
1766905218.2712152,319,1.5573670864105225
1766905237.8031528,326,1.5590970516204834
1766905249.1581829,330,1.563963770866394
1766905274.976973,339,1.5677952766418457
1766905297.682435,347,1.57008957862854
1766905342.3473978,363,1.5813642740249634
1766905353.395904,367,1.5824836492538452
1766905370.021642,373,1.582735538482666
1766905381.129487,377,1.5830074548721313
1766905386.695521,379,1.5838260650634766
1766905501.470769,421,1.6041332483291626
1766905504.212367,422,1.6047306060791016
1766905509.72783,424,1.60595703125
1766905526.3683379,430,1.6084083318710327
1766905551.061428,439,1.6175931692123413
1766905556.759246,441,1.6179481744766235
1766905559.621678,442,1.6184641122817993
1766905567.962,445,1.620940923690796
1766905584.563298,451,1.6237577199935913
1766905609.468385,460,1.6235977411270142
1766905617.6263838,463,1.619873285293579
1766905620.3381388,464,1.6212482452392578
1766905650.3247721,474,1.6169977188110352
1766905697.996871,491,1.6190450191497803
1766905703.507243,493,1.623124122619629
1766905742.0253131,507,1.6310415267944336
1766905755.7941692,512,1.634865403175354
1766905761.332575,514,1.6385809183120728
1766905769.5051699,517,1.637722373008728
1766905791.448548,525,1.6414990425109863
1766905808.001378,531,1.6428579092025757
1766905813.393996,533,1.6429897546768188
1766905821.5938299,536,1.644525170326233
1766905838.86582,542,1.6445226669311523
1766905852.703446,547,1.64694344997406
1766905880.570466,557,1.6520544290542603
1766905897.2343,563,1.6584635972976685
1766905913.8132448,569,1.6591840982437134
1766905924.7232819,573,1.6602754592895508
1766905941.179337,579,1.663901448249817
1766905946.636488,581,1.6636948585510254
1766905949.403104,582,1.6618701219558716
1766905954.805515,584,1.6602634191513062
1766905960.3044841,586,1.659861445426941
1766905963.0944371,587,1.6601438522338867
1766905976.758332,592,1.6613856554031372
1766905979.444148,593,1.6631442308425903
1766906004.709368,602,1.6699737310409546
1766906021.388233,608,1.6704308986663818
1766906026.89593,610,1.6705290079116821
1766906040.748988,615,1.6740046739578247
1766906054.4320278,620,1.6782150268554688
1766906059.8495958,622,1.6743212938308716
1766906093.123637,634,1.6674726009368896
1766906112.397849,641,1.6656084060668945
1766906115.087418,642,1.6653152704238892
1766906120.595618,644,1.6646003723144531
1766906126.0206022,646,1.6670613288879395
1766906128.76339,647,1.6666938066482544
1766906134.238983,649,1.6654653549194336
1766906167.910663,661,1.6692208051681519
1766906175.987585,664,1.6689538955688477
1766906187.365917,668,1.6676002740859985
1766906195.7692668,671,1.6691243648529053
1766906204.123174,674,1.6682319641113281
1766906215.228673,678,1.6700178384780884
1766906217.997704,679,1.6698379516601562
1766906228.935193,683,1.6707369089126587
1766906242.770923,688,1.6757091283798218
1766906273.051465,699,1.6764543056488037
1766906284.099257,703,1.67417311668396
1766906292.2199612,706,1.6738743782043457
1766906314.0521889,714,1.6748155355453491
1766906325.0342689,718,1.6761308908462524
1766906333.403517,721,1.6781501770019531
1766906336.233953,722,1.6789426803588867
1766906339.061399,723,1.6789158582687378
1766906358.948597,730,1.6799631118774414
1766906376.5470238,736,1.6769977807998657
1766906382.494773,738,1.6741441488265991
1766906385.490905,739,1.6745887994766235
1766906397.434309,743,1.6761220693588257
1766906409.434734,747,1.6770532131195068
1766906421.331677,751,1.6791309118270874
1766906424.307628,752,1.6781402826309204
1766906436.387564,756,1.6782222986221313
1766906463.428458,765,1.673647403717041
1766906474.860086,769,1.675702452659607
1766906477.688061,770,1.6778541803359985
1766906480.4638069,771,1.6799653768539429
1766906486.025803,773,1.6799331903457642
1766906488.811174,774,1.6787925958633423
1766906505.274687,780,1.6780004501342773
1766906516.483608,784,1.6807937622070312
1766906519.377154,785,1.6811991930007935
1766906525.028317,787,1.6812483072280884
1766906530.502901,789,1.6809391975402832
1766906538.6489642,792,1.6813560724258423
1766906541.377464,793,1.680086612701416
1766906544.1148548,794,1.6800432205200195
1766906546.877881,795,1.6802644729614258
1766906555.1114519,798,1.683480978012085
1766906566.2355149,802,1.6854041814804077
1766906580.015096,807,1.6823359727859497
1766906582.883921,808,1.682373046875
1766906585.604974,809,1.683514952659607
1766906602.837238,815,1.6835954189300537
1766906652.115874,832,1.6771408319473267
1766906663.115734,836,1.6781421899795532
1766906668.9138849,838,1.6788417100906372
1766906682.975849,843,1.6809463500976562
1766906795.58098,867,1.694541335105896
1766906801.520919,869,1.6928104162216187
1766906816.672657,874,1.6950727701187134
1766906822.781562,876,1.6965093612670898
1766906834.73138,880,1.6988548040390015
1766906840.558054,882,1.698161005973816
1766906864.3576682,890,1.695772409439087
1766906882.865969,896,1.6912370920181274
1766906894.8793862,900,1.691454529762268
1766906915.9234471,907,1.6928859949111938
1766906921.748672,909,1.6947017908096313
1766906957.535703,915,1.6927741765975952
1766906963.467778,917,1.6905326843261719
1766906972.453378,920,1.6880851984024048
1766906981.289948,923,1.6857672929763794
1766907005.1165152,931,1.6919679641723633
1766907008.175384,932,1.6911979913711548
1766907017.7748659,935,1.6927337646484375
1766907039.00377,942,1.695220708847046
1766907048.2974699,945,1.6937187910079956
1766907075.499847,954,1.6965819597244263
1766907087.179793,958,1.6946789026260376
1766907095.8981,961,1.6950899362564087
1766907098.7367098,962,1.6948907375335693
1766907124.9760158,971,1.6959699392318726
1766907127.9160478,972,1.6945353746414185
1766907139.805325,976,1.6945157051086426
1766907145.882886,978,1.6956676244735718
1766907148.9235818,979,1.696244239807129
1766907160.8252559,983,1.6979799270629883
1766907163.8041332,984,1.6980323791503906
1766907172.6852422,987,1.699294090270996
1766907175.563612,988,1.698885202407837
1766907199.767988,996,1.702452301979065
1766907211.2110138,1000,1.7040303945541382
1766907217.388138,1002,1.703812599182129
1766907223.477955,1004,1.7042906284332275
1766907226.435304,1005,1.7047792673110962
1766907253.156291,1014,1.706542730331421
1766907262.01453,1017,1.704919457435608
1766907285.78882,1025,1.7052046060562134
1766907291.736081,1027,1.7042407989501953
1766907306.8298938,1032,1.702218770980835
1766907321.751394,1037,1.703923225402832
1766907342.446965,1044,1.7059980630874634
1766907380.665039,1057,1.7092605829238892
1766907398.6153028,1063,1.7064262628555298
1766907407.799671,1066,1.7061315774917603
1766907413.707062,1068,1.7055158615112305
1766907426.231437,1072,1.7039016485214233
1766907438.758951,1076,1.7064968347549438
1766907444.9611578,1078,1.7072807550430298
1766907461.3132439,1083,1.7049416303634644
1766907464.6123421,1084,1.704440712928772
